	name	name_coarse
0	apple	fruit_and_vegetables
1	aquarium_fish	fish
2	baby	people
3	bear	large_carnivores
4	beaver	aquatic_mammals
5	bed	household_furniture
6	bee	insects
7	beetle	insects
8	bicycle	vehicles_1
9	bottle	food_containers
10	bowl	food_containers
11	boy	people
12	bridge	large_man-made_outdoor_things
13	bus	vehicles_1
14	butterfly	insects
15	camel	large_omnivores_and_herbivores
16	can	food_containers
17	castle	large_man-made_outdoor_things
18	caterpillar	insects
19	cattle	large_omnivores_and_herbivores
20	chair	household_furniture
21	chimpanzee	large_omnivores_and_herbivores
22	clock	household_electrical_devices
23	cloud	large_natural_outdoor_scenes
24	cockroach	insects
25	couch	household_furniture
26	crab	non-insect_invertebrates
27	crocodile	reptiles
28	cup	food_containers
29	dinosaur	reptiles
30	dolphin	aquatic_mammals
31	elephant	large_omnivores_and_herbivores
32	flatfish	fish
33	forest	large_natural_outdoor_scenes
34	fox	medium-sized_mammals
35	girl	people
36	hamster	small_mammals
37	house	large_man-made_outdoor_things
38	kangaroo	large_omnivores_and_herbivores
39	keyboard	household_electrical_devices
40	lamp	household_electrical_devices
41	lawn_mower	vehicles_2
42	leopard	large_carnivores
43	lion	large_carnivores
44	lizard	reptiles
45	lobster	non-insect_invertebrates
46	man	people
47	maple_tree	trees
48	motorcycle	vehicles_1
49	mountain	large_natural_outdoor_scenes
50	mouse	small_mammals
51	mushroom	fruit_and_vegetables
52	oak_tree	trees
53	orange	fruit_and_vegetables
54	orchid	flowers
55	otter	aquatic_mammals
56	palm_tree	trees
57	pear	fruit_and_vegetables
58	pickup_truck	vehicles_1
59	pine_tree	trees
60	plain	large_natural_outdoor_scenes
61	plate	food_containers
62	poppy	flowers
63	porcupine	medium-sized_mammals
64	possum	medium-sized_mammals
65	rabbit	small_mammals
66	raccoon	medium-sized_mammals
67	ray	fish
68	road	large_man-made_outdoor_things
69	rocket	vehicles_2
70	rose	flowers
71	sea	large_natural_outdoor_scenes
72	seal	aquatic_mammals
73	shark	fish
74	shrew	small_mammals
75	skunk	medium-sized_mammals
76	skyscraper	large_man-made_outdoor_things
77	snail	non-insect_invertebrates
78	snake	reptiles
79	spider	non-insect_invertebrates
80	squirrel	small_mammals
81	streetcar	vehicles_2
82	sunflower	flowers
83	sweet_pepper	fruit_and_vegetables
84	table	household_furniture
85	tank	vehicles_2
86	telephone	household_electrical_devices
87	television	household_electrical_devices
88	tiger	large_carnivores
89	tractor	vehicles_2
90	train	vehicles_1
91	trout	fish
92	tulip	flowers
93	turtle	reptiles
94	wardrobe	household_furniture
95	whale	aquatic_mammals
96	willow_tree	trees
97	wolf	large_carnivores
98	woman	people
99	worm	non-insect_invertebrates
