	id	name	name_full
0	n02124075	Egyptian cat	Egyptian cat
1	n04067472	reel	reel
2	n04540053	volleyball	volleyball
3	n04099969	rocking chair	rocking chair, rocker
4	n07749582	lemon	lemon
5	n01641577	bullfrog	bullfrog, Rana catesbeiana
6	n02802426	basketball	basketball
7	n09246464	cliff	cliff, drop, drop-off
8	n07920052	espresso	espresso
9	n03970156	plunger	plunger, plumber's helper
10	n03891332	parking meter	parking meter
11	n02106662	German shepherd	German shepherd, German shepherd dog, German police dog, alsatian
12	n03201208	dining table	dining table, board
13	n02279972	monarch	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
14	n02132136	brown bear	brown bear, bruin, Ursus arctos
15	n04146614	school bus	school bus
16	n07873807	pizza	pizza, pizza pie
17	n02364673	guinea pig	guinea pig, Cavia cobaya
18	n04507155	umbrella	umbrella
19	n03854065	organ	organ, pipe organ
20	n03838899	oboe	oboe, hautboy, hautbois
21	n03733131	maypole	maypole
22	n01443537	goldfish	goldfish, Carassius auratus
23	n07875152	potpie	potpie
24	n03544143	hourglass	hourglass
25	n09428293	seashore	seashore, coast, seacoast, sea-coast
26	n03085013	computer keyboard	computer keyboard, keypad
27	n02437312	Arabian camel	Arabian camel, dromedary, Camelus dromedarius
28	n07614500	ice cream	ice cream, icecream
29	n03804744	nail	nail
30	n04265275	space heater	space heater
31	n02963159	cardigan	cardigan
32	n02486410	baboon	baboon
33	n01944390	snail	snail
34	n09256479	coral reef	coral reef
35	n02058221	albatross	albatross, mollymawk
36	n04275548	spider web	spider web, spider's web
37	n02321529	sea cucumber	sea cucumber, holothurian
38	n02769748	backpack	backpack, back pack, knapsack, packsack, rucksack, haversack
39	n02099712	Labrador retriever	Labrador retriever
40	n07695742	pretzel	pretzel
41	n02056570	king penguin	king penguin, Aptenodytes patagonica
42	n02281406	sulphur butterfly	sulphur butterfly, sulfur butterfly
43	n01774750	tarantula	tarantula
44	n02509815	lesser panda	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
45	n03983396	pop bottle	pop bottle, soda bottle
46	n07753592	banana	banana
47	n04254777	sock	sock
48	n02233338	cockroach	cockroach, roach
49	n04008634	projectile	projectile, missile
50	n02823428	beer bottle	beer bottle
51	n02236044	mantis	mantis, mantid
52	n03393912	freight car	freight car
53	n07583066	guacamole	guacamole
54	n04074963	remote control	remote control, remote
55	n01629819	European fire salamander	European fire salamander, Salamandra salamandra
56	n09332890	lakeside	lakeside, lakeshore
57	n02481823	chimpanzee	chimpanzee, chimp, Pan troglodytes
58	n03902125	pay-phone	pay-phone, pay-station
59	n03404251	fur coat	fur coat
60	n09193705	alp	alp
61	n03637318	lampshade	lampshade, lamp shade
62	n04456115	torch	torch
63	n02666196	abacus	abacus
64	n03796401	moving van	moving van
65	n02795169	barrel	barrel, cask
66	n02123045	tabby	tabby, tabby cat
67	n01855672	goose	goose
68	n01882714	koala	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
69	n02917067	bullet train	bullet train, bullet
70	n02988304	CD player	CD player
71	n04398044	teapot	teapot
72	n02843684	birdhouse	birdhouse
73	n02423022	gazelle	gazelle
74	n02669723	academic gown	academic gown, academic robe, judge's robe
75	n04465501	tractor	tractor
76	n02165456	ladybug	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
77	n03770439	miniskirt	miniskirt, mini
78	n02099601	golden retriever	golden retriever
79	n04486054	triumphal arch	triumphal arch
80	n02950826	cannon	cannon
81	n03814639	neck brace	neck brace
82	n04259630	sombrero	sombrero
83	n03424325	gasmask	gasmask, respirator, gas helmet
84	n02948072	candle	candle, taper, wax light
85	n03179701	desk	desk
86	n03400231	frying pan	frying pan, frypan, skillet
87	n02206856	bee	bee
88	n03160309	dam	dam, dike, dyke
89	n01984695	spiny lobster	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
90	n03977966	police van	police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
91	n03584254	iPod	iPod
92	n04023962	punching bag	punching bag, punch bag, punching ball, punchball
93	n02814860	beacon	beacon, lighthouse, beacon light, pharos
94	n01910747	jellyfish	jellyfish
95	n04596742	wok	wok
96	n03992509	potter's wheel	potter's wheel
97	n04133789	sandal	sandal
98	n03937543	pill bottle	pill bottle
99	n02927161	butcher shop	butcher shop, meat market
100	n01945685	slug	slug
101	n02395406	hog	hog, pig, grunter, squealer, Sus scrofa
102	n02125311	cougar	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
103	n03126707	crane	crane
104	n04532106	vestment	vestment
105	n02268443	dragonfly	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
106	n02977058	cash machine	cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM
107	n07734744	mushroom	mushroom
108	n03599486	jinrikisha	jinrikisha, ricksha, rickshaw
109	n04562935	water tower	water tower
110	n03014705	chest	chest
111	n04251144	snorkel	snorkel
112	n04356056	sunglasses	sunglasses, dark glasses, shades
113	n02190166	fly	fly
114	n03670208	limousine	limousine, limo
115	n02002724	black stork	black stork, Ciconia nigra
116	n02074367	dugong	dugong, Dugong dugon
117	n04285008	sports car	sports car, sport car
118	n04560804	water jug	water jug
119	n04366367	suspension bridge	suspension bridge
120	n02403003	ox	ox
121	n07615774	ice lolly	ice lolly, lolly, lollipop, popsicle
122	n04501370	turnstile	turnstile
123	n03026506	Christmas stocking	Christmas stocking
124	n02906734	broom	broom
125	n01770393	scorpion	scorpion
126	n04597913	wooden spoon	wooden spoon
127	n03930313	picket fence	picket fence, paling
128	n04118538	rugby ball	rugby ball
129	n04179913	sewing machine	sewing machine
130	n04311004	steel arch bridge	steel arch bridge
131	n02123394	Persian cat	Persian cat
132	n04070727	refrigerator	refrigerator, icebox
133	n02793495	barn	barn
134	n02730930	apron	apron
135	n02094433	Yorkshire terrier	Yorkshire terrier
136	n04371430	swimming trunks	swimming trunks, bathing trunks
137	n04328186	stopwatch	stopwatch, stop watch
138	n03649909	lawn mower	lawn mower, mower
139	n04417672	thatch	thatch, thatched roof
140	n03388043	fountain	fountain
141	n01774384	black widow	black widow, Latrodectus mactans
142	n02837789	bikini	bikini, two-piece
143	n07579787	plate	plate
144	n04399382	teddy	teddy, teddy bear
145	n02791270	barbershop	barbershop
146	n03089624	confectionery	confectionery, confectionary, candy store
147	n02814533	beach wagon	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
148	n04149813	scoreboard	scoreboard
149	n07747607	orange	orange
150	n03355925	flagpole	flagpole, flagstaff
151	n01983481	American lobster	American lobster, Northern lobster, Maine lobster, Homarus americanus
152	n04487081	trolleybus	trolleybus, trolley coach, trackless trolley
153	n03250847	drumstick	drumstick
154	n03255030	dumbbell	dumbbell
155	n02892201	brass	brass, memorial tablet, plaque
156	n02883205	bow tie	bow tie, bow-tie, bowtie
157	n03100240	convertible	convertible
158	n02415577	bighorn	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
159	n02480495	orangutan	orangutan, orang, orangutang, Pongo pygmaeus
160	n01698640	American alligator	American alligator, Alligator mississipiensis
161	n01784675	centipede	centipede
162	n04376876	syringe	syringe
163	n03444034	go-kart	go-kart
164	n01917289	brain coral	brain coral
165	n01950731	sea slug	sea slug, nudibranch
166	n03042490	cliff dwelling	cliff dwelling
167	n07711569	mashed potato	mashed potato
168	n04532670	viaduct	viaduct
169	n03763968	military uniform	military uniform
170	n07768694	pomegranate	pomegranate
171	n02999410	chain	chain
172	n03617480	kimono	kimono
173	n06596364	comic book	comic book
174	n01768244	trilobite	trilobite
175	n02410509	bison	bison
176	n03976657	pole	pole
177	n01742172	boa constrictor	boa constrictor, Constrictor constrictor
178	n03980874	poncho	poncho
179	n02808440	bathtub	bathtub, bathing tub, bath, tub
180	n02226429	grasshopper	grasshopper, hopper
181	n02231487	walking stick	walking stick, walkingstick, stick insect
182	n02085620	Chihuahua	Chihuahua
183	n01644900	tailed frog	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
184	n02129165	lion	lion, king of beasts, Panthera leo
185	n02699494	altar	altar
186	n03837869	obelisk	obelisk
187	n02815834	beaker	beaker
188	n07720875	bell pepper	bell pepper
189	n02788148	bannister	bannister, banister, balustrade, balusters, handrail
190	n02909870	bucket	bucket, pail
191	n03706229	magnetic compass	magnetic compass
192	n07871810	meat loaf	meat loaf, meatloaf
193	n03447447	gondola	gondola
194	n02113799	standard poodle	standard poodle
195	n12267677	acorn	acorn
196	n03662601	lifeboat	lifeboat
197	n02841315	binoculars	binoculars, field glasses, opera glasses
198	n07715103	cauliflower	cauliflower
199	n02504458	African elephant	African elephant, Loxodonta africana
